source,reference,hypothesis
फोल्डर नामहरूले '/' समावेश गर्न सक्दैनfolder-display,Folder names cannot contain '/',Folder names cannot include '/'
"මයිල්ස්, එපා, නවත්තන්න.","Miles, no! Stop.","Miles, no, stop."
ඔස්බර්ග් වයිකින් කොහෙද තියෙන්නේ කියල.,To a place where the Oseberg Vikings have been.,Where the Osberg Viking is.
ප්‍රශ්නේ මොකද්ද ලිසී.,"What is the question, Lizzy?","What's the matter, Lizzie?"
"ඔව්, ඇය කරුනාවක් නෑ හැගිමක් නෑ, භයානකයි, ගල් හදවතක්...","Yes! She is merciless, emotionless, ruthless, stone hearted hard core business woman!","Yeah, she's compassionate, emotionless, dangerous, heartless..."
ගොඩක් මිනිස්සුන්ට නැහැ.,Most men don't.,Most people don't.
පැමිණීම සතුටක්.,Hello. Hey. Thanks for seeing me.,Nice to meet you.
ප්‍රපාතය තමා ඔවුන්ගේ සොහොන.,The cliff is the tomb of them.,The falls are their graves.
දැන් අපේ මූලික මෙහෙයුමට යමු.,"Not us. Now, it's back to our primary mission.",Now let's move on to our primary mission.
ඔයාලා මොනවද කරන්නේ?,"Whoa, whoa, what are you doing?",What are you doing?
මෙහෙමද උඹ මට කලගුණ දක්වන්නෙ?,This is how you repay me?,Is this how you treat me?
"ඉල්ලේ, මොකද්ද ඉල්ලේ?",What ille? no?,"Ask, what do you ask?"
स्थानीय डाइरेक्टरीको सूची %s प्राप्त गर्न सकिएन: %s,Could not get local directory listing %s: %s,Could not get a list of local directories %s: %s
यससँग सम्पादन गर्नुहोस्,Edit With,Edit with this
ඔබයි ඔබේ සමාගමයි...,- You and your company.,You and your company...
මම වැරැද්දක් කළා ඒ වගේම මේක මගේ වැරැද්ද.,"I made a mistake, and this is my fault.",I made a mistake and this is my fault.
ඔය කතා කරන්නෙ නම් ධනාත්මකව.,You sound positively magnanimous.,You speak positively.
"මම ඔයා වෙනුවෙන්, මේ කිසිවක් සොයා තිබුණා.","I had find any of this, for you.",I wouldn't have found anything for you.
හරි පලෙවනි කණ්ඩායම පහුරට යන්න අපිට හය දෙෙනක් යවන්න පුළුවන් !,"All right, first group in the raft. We can fit six!","All right, let's get a squad across. We can send six or two!"
විශ්වාසය තැබීම ගැන ස්තුතියි,Thanks for the vote of confidence.,Thank you for trusting me.
"බොත්තම් දෙකයි, තලයන් දෙකයි∙ මට සමාවෙන්න, හරිද?","Two buttons. Two levels. I'm sorry, all right?","Two buttons, two buttons. I'm sorry, okay?"
මං ළඟ මගේ හැමදෙයක්ම තියෙනවද?,Do I have all my things?,Do I have everything?
මම මගේ දුවට∙∙∙∙,I will not have my daughter...,I want my daughter...
මම මෙතුවක්කාලකට බිහිවුන සුපිරි දුෂ්ඨයා.,I'm the greatest supervillain of all time.,I'm a super villain born recently.
එයාල එක්ක යාළුයි.,"You know, I get with them.",Friends with them.
අපි තේ එකක් බොමු ඒක ලොකු දවසක්,Let's have some tea. It's a big day.,Let's have tea. It's a big day.
ගුවන් යානයකට නැග්ගම,I just...,Boarding a plane
තවම විස්තරයක් නැහැ,Nothing yet.,No details yet.
මෙහේ වැරදි කරන්න ඉඩක් නෑ.,"In rosewood, you don't have room to make a mistake. And neither do I.",There's no room for error here.
ගඳ ගහනවනේ,- It'll spread fragrance.,Smells like it.
ඒක මගේ වැරැද්ද.,It's all my fault.,It's my fault.
- සියළුම එන්ජිම් නවත්වන්න.,- Stop all engines.,- Stop all engines.
ආයෙත් ඒක ඇතුලට දාන්න එපා !,Don't put it back in !,Don't put it back in!
"ඔයාගෙ සැමියා, ඉබින් කැස්මීර්, වැඩ දෙකම කරේ ඔහු.","Your husband, Ibn Casimir, was in on both jobs.","Your husband, Ibn Kashmir, he did both jobs."
ඔයා කිව්වෙ දවස් 2න් හරි කියල. ඒත් අපිට තාම මිනිස්සුවත් නෑ,"You said we'd be ready in two days, we don't even have a men's room yet.","You said two days, but we don't have a human yet."
"මහත්වරුනි, මගේ උත්සාහය ඔබට කරුණු කියා දීමට","Gentlemen, I have attempted to dissuade you from this wayward behavior.","Gentlemen, I'm trying to tell you the truth."
මුලින්ම මේ කෝවිල ඇදලා වහමු වරෙල්ලා බන්,Let's first shut the temple doors,Let's close this temple first. Come on.
"එයාලට ඕන උනේ නිකන් ඩයානාසෝරයෝ විතරයි, ඇත්තම උන්.","They just needed dinosaurs, real dinosaurs.","They just wanted the dinosaurs, the real ones."
එතුමන්ට පුළුවන් තමන්වම ආරක්ෂා කරගන්න.,Him can protect themselves.,He can protect himself.
තව එක දෙයක්.,One more thing:,One more thing.
गलत हिज्जे गरिएका शब्द,Misspelled Words,Mis-spelled words
ඔයා ඔයාලගේ පල්ලියට යන්න.,Go to your church.,You go to your church.
ඔබ දුන් පොරොන්දුව කඩ කරනවද...,The pledge that you've taken to annihilate the enemies..,Are you breaking your promise...
ක්‍රියාකරන උපකරණ,Working Devices,Operating Equipment
මට සැකයි මුචබූම් නෝනට උවමනා වෙයිද කියල සංගීතය ගැන සාකච්ඡා කරන්න ඔයා එක්ක 13 වන සියවසයේ ස්කැනඩිනේවියන් කවි ගැන කතා කළයින් පස්සෙ.,I doubt Mrs. Moucheboume will want to discuss music after your talk on 13th century Scandinavian poetry.,I doubt Mrs. Muchboom would want to discuss music with you after you discussed 13th century Scandinavian poetry.
"මම නම් කවදාවත් ජෝන් මේනාඩ් කේනිස්ගෙ රසිකයෙක් වෙලා නෑ, නමුත් මේක නම් මටත් බලන්න හිතෙනවා.","I've never been a fan of John Maynard Keynes, but this I could sink my teeth into.","I've never been a fan of John Maynard Keynes, but I'd love to see this too."
- දැන් අපි පයින් ම යමුද?,- Now we're walking.,- Shall we walk now?
මම ඉපදුනේ රජෙක් වෙන්න!,I was born to be a king!,I was born to be a king!
मेरो माथिल्लो दर,My Top Rated,My upper rate
not තර්‍ක ක්‍රියාවName,logic operator not,not argument action
මගේ පලාත මම විනාශ කරගන්නවද ?,Bomb is mine Village is also mine Will I destroy my own constituency?,Shall I destroy my territory?
"सबै अज्ञात शब्दको घटनालाई उस्तै रहन दिन यहाँ क्लिक गर्नुहोस् । तपाईँले प्रयोग गर्न चाहनुभएको तर शब्दकोशमा थप नगरिएको शब्द नाम, परिवर्णी शब्द, विदेशी शब्द वा अन्य अज्ञात शब्द भएमा यो कार्य उपयोगि हुन्छ ।","Click here to let all occurrences of the unknown word remain as they are. This action is useful when the word is a name, an acronym, a foreign word or any other unknown word that you want to use but not add to the dictionary.","Click here to keep the occurrence of all unknown words the same. This function is useful if you want to use unadded word names, abbreviations, foreign words or other unknown words in the dictionary."
මං පරණ නගරයේ දාස්. ඔයාගෙ ගේ ඉස්සරහ ඉන්නේ,"I'm old city Dass, I'm right before your house.",I'm a servant of the Old City.
උදව් කරන්න!,"Help, help, help!",Help! Help!
දොර අරින්න නැතිනම් අපි ඇතුලට එනවා.,Open up or we're coming in.,"If you don't open the door, we're coming in."
.... ප්‍රේම කතාවත් එක්කම වැඩෙත් කෙරෙනවනේ.,...we would work as well as romance a little.,..and the love story is done.
පල්ලියට කැප කරමු. මේ මිනිමැරුම් අවසාන වෙන්නේ නෑ.,"I say, until we submit him to our church... these killings will not cease.","Dedicated to the church, these murders will never end."
මොනවත් නෑ සත්‍ය වශයෙන්ම,Nothing. Exactly.,"Nothing, really."
- අපි දඩයම් කරනවා∙,- We were hunting.,- We're hunting.
"සහෝදරය, අපි සමරන්නෙ නෑ අපි ගවේශනය සම්පූර්න කරනතුරු.","Brother, we do not celebrate until we complete the quest at hand.","Brother, we won't celebrate until we complete the search."
නගරෙ වෙන හැම දෙයක්ම වෙන්න ඕන අපේ නිලදාරීන් යටතෙ,All the settlements in the city has to be done in our local offices.,Everything else in the city should be under our control.
අපේ පුතා පිළිකාවකින් මැරුණට පස්සේ..,After our son died of cancer...,After our son died of cancer..
"ඔයාට ඒක ඒ විදිහට තියාගන්න ඕන නම්, ඔයා මම කියන දේ කරන්න ඕන∙","You want to keep things that way, you'll do like I say.","If you want to keep it that way, you have to do what I say."
ईयुलर्स स्थिर गामा,Euler's Constant gamma,Euler Stable Gamma
ඔන්න පටන් ගත්තා.,Here we go.,Here we go.
කැප්ටන් එනව.,"""Captain on deck.",Captain's coming.
මම දන්නවා ඔයා මොනවද හිතන්නෙ කියලා:,Um... I know what you're thinking:,I know what you're thinking:
"සැත්කමට පැය 10ක් යයි, සමහර විට දොළහක් වෙන්නත් පුලුවනේ.","It could take as long as 10, maybe 12 hours.","The surgery will take 10 hours, maybe 12 hours."
යන්න දෙන්නෙපා අල්ලගනින්.,"Don't leave, catch.",Don't let go. Get it.
මට පෙන්නේ නෑ.,I can't see.,I can't see.
ඔයා කොහෙද ගියෙ?,Where did you go?,Where did you go?
මම හිතන්නෙ ඒකෙ තියෙන නරකම දේ කාටවත් කියන්න බැරි වීම.,I think the worst part of it was not being able to tell anyone.,I think the worst thing about it is not being able to tell anyone.
එතකොට රැහැයියෝ?,What about the cicadas?,And the wires?
ඔයාලම කියන්නකෝ. මාව මේ වගේද පේන්නේ?,"So, does he look like me?",Do I look like this?
ගෝ‍රග් ? . මෙහෙ මොකක්ද සිද්ධ වෙන්නේ?,"Greg, what's going on here?",What's going on here?
අවුරුදු 13 වෙනකොට මම දැනන් හිටියා මම කවුරුද වෙන්න ඕන කියන එක.,I knew exactly what I wanted to be when I was 13.,"When I was 13, I knew who I wanted to be."
"ඔයාට තවදුරටත් වෘත්තියේ නියැලුමක් නෑ. බිරිද හරි ළමයා හරි , මං ඔට්ටු තියෙනවා .","You don't have a practice anymore or a wife or a kid, I'm betting.","You don't have a career anymore. Whether you're a wife or a child, I bet."
අපි මුලින් පළමු පන්තියට වනෙුවනේ කතාකරන්නම්,"We would like to invite our pre-board, first class",We'll talk to first class first.
ඔයාට ඔයාගෙ තීරණ මතක නෑ.,You just don't remember yours.,You don't remember your decisions.
स्रोत फाइल खोज्नका लागि डाइरेक्टरीको सूचीमा थप्नुहोस् ।,Add to the list of directories to search for source files,Add to the list of directories to find the source file.
නමුත් ඔහුව අල්ලගන්න කලින් ඔහු පැනලා ගියා.,But I lost him before I could track him.,But he escaped before they caught him.
මොවද ශෙයාර් මාර්කට් එකේ වැඩ කරන කෙනා මුලු මාර්කට් එකේ වැඩකරන කෙනෙක් වගේ කතා කරන්නේ,He is doing business in share market and talks like a fish market guy.,This guy who works in the stock market talks like he works in the whole market.
डिजिक्याम दर देखाउनुहोस्,Show digiKam & rating,Show Digicam Rate
- වැඩිහිටියෝ අරහෙට ඇවිල්ලා ඉන්නේ.,- The elders are being flown in.,- The elders are here.
මම ඔයා වෙනුවෙන් ගියාම අර වැඩේ කරන්නම් .,I'll work on that mix for you!,I'll do that for you when I go.
तेर्सो पारिएको ऐना,Mirrored Horizontally,Horizontal mirror
"කොල්ලනේ! ඔවුන් කියන්නේ එතන අනතුරක් වෙලා තිබ්බා කියලා, ඒක පැහැදිලි කරන්න පුළුවන්ද?",So you had to check out an accident and then it happened.,"Guys, they say there was an accident, can you explain that?"
එයා දැක්කොත් අපි දෙන්නවම මරලා දායි.,"If he sees you, he kill me and you both.","If he sees it, he'll kill us both."
මේ ඒකද?,This is it?,Is that it?
"ඕහ්, පොඩ්ඩක් ඉන්න, මට ප්‍රශ්නයක් තියෙනවා.","Oh, wait, I have a question.","Oh, wait, I got a problem."
"නෑ, ඒ අපේ සම්ප්‍රදාය.",And we've another tradition.,"No, it's our tradition."
- මම එන්න පරක්කු වුනාද ?,Am I late?,- Am I late?
अवरोध सुरु समय ।,Constraint start date and time,Block start time.
ට්‍රොල් ජරාව.,Troll boogers.,Troll shit.
මේෙත්න් ඒකකයට අවශ්‍ය වෙන්නෙ නෑ කුඩා ත්වරණයක්∙,Methane plants don't need particle accelerators.,The methane unit won't need a little acceleration.
"ආනේ, ඔව්නේ, එක ඇත්ත තමා.","Oh, yes, of course, that's it.","Oh, yeah, that's true."
"දෙයියනේ, අවුරුද්දකට පස්සෙත්.","Oh, God. A year later.","Oh, my God, even after a year."
"ඇය ලස්සනයි ,හරිද?","She was pretty, right?","She's beautiful, okay?"
ඔයා දැන් කරන්න ඕන හොඳම දේ තමයි... විවේක ගන්න එක.,Probably the best thing to do for you right now would be... just to relax.,The best thing for you to do now is... rest.
"- හයි යළුවා, කොහොමද මගේ දර්ශණය?","- Hi buddy, how did you like my presentation?","- Hey, buddy, how's my vision?"
අපිට මූව උයන්න පුලුවන්ද?,We can try.,Can we cook him?
වෙන කරන්න දෙයක් නෑ.,We may not have a choice.,There is no choice.
ඔයා හිනාව නතර කරලා මට කියන්න ඒ කෙල්ල කවුද කියල.,Stop feeling shy and tell me who is that girl.,Stop smiling and tell me who that girl is.
"හරි, මට ටිකක් වෙලා හිතන්න දෙන්න!",Okay. Give me some time to think.,"Okay, let me think for a second!"
මම උපකරණය නැවත සැකසුවා මං ඒක මෙතැන හංඟනවා.,'I have reconstructed the device',I rearranged the device. I'm hiding it here.
එතකොට ඔයා නෝනා කෙනෙක් ගැනත් මොනවද කිව්වා.,Okay. So you said something about a lady.,And what did you say about a lady?
"फाइलको माथि माउस सार्दा यदि फाइलको बारेमा थप सूचनासँग सानो पपअप सञ्झ्याल हेर्न चाहनुहुन्छ भने, यहाँ नियन्त्रण गर्न सक्नुहुन्छ ।","Here you can control if, when moving the mouse over a file, you want to see a small popup window with additional information about that file","If you want to see a small popup window with more information about the file by moving the mouse above the file, you can control here."
මෙතන ඔයාට කිසිම දෙයක් වෙන්නෙ නෑ.,Nothing will happen to you here.,Nothing will happen to you here.
सक्रिय तहको वरिपरि एउटा किनारा कोर्नुहोस्view-action,Draw a border around the active layer,Draw an edge around the active layer
"නැහැ, ඔයා හරි.","No, you were right.","No, you're right."
"ඔව්, ඇත්තටම.","Yes, of course.","Yeah, really."
ඔයා මගෙ අම්මව බඳින්නද යන්නෙ?,Are you gonna marry my mom?,Are you going to marry my mother?
මම ඔහු පස්සෙන් යනවා.,I'm going after him.,I'm going after him.
ඔයයි කෝලුයි විතරයි.,You and Cole did.,Just you and Kollu.
මට යන්න වෙනවා.,I have to go.,I have to go.
ඔහේට තේරෙනවනේ ඇයි අපි මෙහාට ආවේ කියලා ජූලියන්,"You understand why we're here, Julian.","You understand why we're here, Julian."
එක ආයේ ගන්න එපා∙,Don't take it back.,Don't take it back.
4: 00 වෙද්දිත් එයා හිටියෙ කඳු මුදුනෙ.,He was still on the Summit at 4:00.,"By 4:00, he was at the top of the mountain."
මේක පරණ යකඩ වලට සහනයක්.,That's a relief from all this antique iron.,It's a relief to old steel.
එයාලා ගැන හොයලා බලන්න ඕන.,Portishead. - Never heard of him.,We need to look into them.
ඔයා සුරතලෙක්ද?,Are you pet? ... No.,Are you a pet?
ගොනුව නොපවතී:% 1,File does not exist: %1,File does not exist: %1
"හොඳයි, මොකක්ද මේ ""උත්තමාවියනි"" කියන එක?","Okay, what is with this ""Your Majesty"" thing?","Well, what is this ""Your Excellency""?"
"අංජලී, මගෙ මොබයිල් එක අමතක උනා.","Anjail, I forgot my mobile.","Angeli, I forgot my cell phone."
- අවුරුදු ගානක පණිවිඩ තියෙනවා.,We've got years of messages stored.,- Years of messages.
මම යන්නෙ අර පැත්තට.,I'm going that way.,I'm going that way.
ඔයා ඒක අමතක කරන්න ඕනේ..,You need to let it.,You should forget it.
"අපි අද සිදුකල දෙය පිළිබඳ සෑහෙන ආඩම්බර විය යුතුයි,මහත්වරුනි.","We should all be very proud of what we've accomplished here today, gentlemen.","We should be very proud of what we accomplished today, gentlemen."
चयन गरिएको होस्टमा सत्र खोल्नुहोस्,Open a session to the selected host,Open session on selected host
सहभागी सबै स्वतन्त्र हुदा मिति र समयमा घटना सार्छ ।,Click this button to move the event to a date and time when all the attendees have time available in their Free/ Busy lists.,Moves the event to the date and time when all participants are free.
සුළඟ ඔයා අණ කරන දේවල් කරාවි.,The winds will do your bidding.,The wind will do as you command.
ඔබේ මව විවාහ වීමට සිටින දන්නේ නැහැ හා,Twenty-seven times is the fucking charm.,Your mother doesn't know who to marry and
පිවිසුම් රැහැන් පාදකයේ තියෙන්නේ,The access cable's in the base.,The access line is at the base.
එපා නවත්තනව.,"No, Stop it.","No, stop."
प्राथमिकता परिवर्तन गर्नुहोस्,Change _Priority,Change Priority
"හරි, අපි අමාරුකාරයො නොවී ඉමු.","All right, let's not be difficult.","Okay, let's not be tough."
- ඔයාගේ අරමුණ මොකක්ද?,- What is your goal?,- What's your purpose?
"""රාත්‍රිය උදාවූයේ නැත""",The night is not dawned yet.,"""The night has not yet dawned"""
සමහර වෙලාවට පුදුම දේවල් වෙනවා!,Something amazing has happened!,Sometimes strange things happen!
මම ගතියට ඉන්න යන්නේ.,I'm being cool.,I'm gonna keep moving.
ඔහු අවේ නැදද් එලියට?,He never checked out with you?,He didn't come out?
කියන්න කට අරිද්දිම බෙල්ල කැරකුවනේ.,You didn't let me!,Tell me you twisted your neck when you opened your mouth.
"""මගේ මාර්ගය මට තෝරල දුන්නෙ ... "" මගේ සතුරා විසින්.",But my path was chosen for me by my enemy who framed me for killing the Hard Master.,"""My path has been chosen by my enemy."""
යන්න දැන් .,Come on go now.,Go now.
ඔයා සුපිරි තරුවක්,You are a superstar.,You're a superstar.
- මම කියන විදිහට කරන්න.,- Just follow my lead.,- Do as I say.
R.PNORM:सामान्य वितरणको क्यमुलेटिभ वितरण कार्य।,R.PSNORM:cumulative distribution function of the skew-normal distribution,R.PNORM: Cumulative distribution function of normal distribution.
එතකොට අවුරුදු ගානක් යයි ඒකට.,It would have taken years.,And it'll take years.
"කිට්, ඔබට නවතින්න කාලයක් නෑ","KITT, there's no time for you to stop.","Kit, you don't have time to stay."
එතකොට මේ... ...ඔක්කොම අපගාමිකයෝ.,And these are all the mutants.,And these... they're all outsiders.
සිල්වර් නයිට්‍රේට්.,Silver nitrate.,Silver nitrate.
बुर्किना फासो,Burkina Faso,Burkina Faso
"ඔයා හොඳ පුද්ගලයෙක්, ඩොබ්ස්, ඔයා ලඟ හොඳ දක්ෂ කම් තියෙනවා.","You're a good person, Dobbs, with a lot of potential.","You're a good man, Dobbs, you have good talent."
- තේරුම තමයි..,- Means ..,- Which means..
එයාගේ බෝට්ටු තියෙන්නේ ආකරෙන් එපා පැත්තේ.,His boat's across from mine.,His boats are on the far side.
- මොනවද ඔයාට අවශ්‍ය ?,- What do you want?,- What do you want?
ඔයා තමයි ප්‍රශ්ණෙට මුල,You're the problem.,You're the root of the problem.
ඔයාලා මැරෙනවා?,You're dying?,You're dying?
"कन्फिगरेसन कुञ्जी %s को मान वैध छैन, मान ""%s"" हो","The value of configuration key %s is not valid; value is ""%s""","The value of configuration key %s is not valid, the value is ""%s"""
"මගෝ සාප්පුවට ආපු ගැහැනු, මං දැකල බයවුනා.",Woman who came to my shop used to get scared looking at me.,"The women who came to my shop, I was scared."
ටොප්ස් එකේ කිලෝමීටර් දහතුන කියලා ගහලා තියෙනවා,"- Dhivya, where are you now? - It's says Top Slip 13 kms",It's 13 miles to the top.
මොනාද එයා කියවන්නෙ?,What'd she say?,What is he talking about?
"Michael, සන්සුන් වෙන්න","Michael, calm down.","Michael, calm down."
ඔයා එනකොට තිබුණ දකුණ නෙවෙයි දැන් තියෙන්නෙ.,The South ain't what it was when you was there.,The South isn't what it was when you came here.
පකිස්ථානු තානාපති කාර්යාලයේ.. ඇයි?,Why Pakistan Embassy ..?,Pakistan Embassy..why?
ඔයා දැන් කාර්‍යබහුලයි වගේ?,DA's keeping you busy?,You seem busy now?
අපි KSRTC ස්ටෑන්ඩ් එකට ගිහින් බලමුද ? [කර්ණාටක මර්ගස්ථ මගී ප්‍රවාහන අධිකාරිය],Shall we go try at the KSRTC bus stand?,Shall we go to the KSRTC stand?
-ඔයා හැම වෙලේම නිවැරදි නැහැ.,- You're not always right.,- You're not always right.
"සමාවෙන්න, මොකද්ද ඔයා කිව්වේ?","Sorry, what were you saying?","I'm sorry, what did you say?"
එයාගේ දරුවා බලාගන්නවා කියලා මං පොරොන්දු වුනා නේ..,I promised you I would take care of your son,I promised I'd take care of her baby.
දන්නවද අතන මුර වෑන් එකක් තියෙනවා. මුලු රෑම එලියේ ගහගෙන.,"You know there's a, uh, surveillance van parked outside all night?","You know, there's a security van out there all night."
यो मात्र '%s' खातामा लागू हुन्छ ।,This only applies to the %s account.,This applies only to account '%s'.
ඔයා එහෙම හිතන්නෙ නැද්ද? බිත්තියේ එළලා තියනකොට.,Hanging on the wall.,You don't think so when you're stuck on the wall.
අපි ඒක බලාගන්නම්.,We're on it.,We'll take care of it.
මට මතක ටිකක් සහ අමතක වුණු ටිකක් තිබෙනවා,There are some things i remember And some things i don't.,I have some memories and some forgotten ones.
මම දැනගන්න කැමතියි ඔයා කොහදෙ ඉන්නෙ කියල∙,I'd like to know where you stand.,I'd like to know where you are.
කැලීට හැමතිස්සෙම පොඩි බිඳෙනසුළු ගතියක් තිබුනා.,Callie had always been a little fragile.,Callie's always had a little crap.
कृपया नाम प्रविष्ट गर्नुहोस् र पुन: प्रयास गर्नुहोस् ।,Please enter a name and try again.,Please enter the name and try again.
මොන පැත්තෙද?,Which way?,Which way?
"ඇත්තටම, ඔයාල මට විනාඩියක් දෙන්න.","In fact, you guys give me a minute.","Actually, you guys give me a minute."
थप जाभा तर्क:,Additional Java arguments:,Additional Java arguments:
මෙයාට පෙන්වන්න.,Show her.,Show him.
"රාම්, දෙන්නමට ඇහුම්කන්.","Ram, listen to me.","Ram, listen to me."
හරියට කතන්දරයක කතාවක් වගේ,Sounds like a fairy tale.,Like a story.
"මේ ඉන්නේ ""දිය"" සුරංගනාවක්.",This is a water fairy.,This is a fairy tale.
දොර අරිනව.,Open the door.,Open the door.
"ඔයාගේ මනුෂ්‍යයව, ඔහුව ලයිකන්ලා සළකුණු කරලා.","Your human, he's been marked by a lycan.","Your man, he's been branded by the Lycans."
स्मार्ट पुस्तकचिनोहरूमा बाँण प्रदर्शन गर्नुहोस्,Display arrows in smart bookmarks,Display arrows on smart bookmarks
हिब्रु दृश्य,Hebrew Visual,Hebrew View
පූජකයො තුන්දෙනක්ව මරල?,Killing three priests?,Killing three priests?
එයා පොලිසිය එක්ක ඇනා හොයමින් හිටියේ.,He's been out searching with the police for Anna.,He was looking for Anna with the police.
"අවංකවම, අපිට මීට කලින් කවදාවත් මේ වගේ තත්වයක් ඇතිවෙලා නෑ.","Honestly, we have never had a case like this before.","Honestly, we've never been in this situation before."
මොකද්ද එකේ තේරුම?,"So you're a private detective, is that right?",What does that mean?
तत्काल खोल्नुहोस्,Open _Recent,Open Now
ඔයා එක්කෝ ඒ බල්ලා වගේ වෙන්න ඕනේ... ...නැත්නම් මේ බල්ලා වගේ වෙන්න ඕනේ.,You're either that dog or you're this dog.,Either you're gonna be like that dog or you're gonna be like this dog.
එතකොට ඇත්තටම ඔයා එයාට උදවු කරන්නෙ නැද්ද,And you're actually considering not helping her?,And don't you really help him?
"එලම තමා, එල කිරි.",Cyanopsitta spixii.,"That's right, milk."
මැරුවොත් අපිට ලොකු ප්‍රශ්ණයක් වෙනවා,A murder enquiry can become big trouble.,"If we kill, we're in big trouble."
स्केलेटन प्रतिलिपि गर्नुहोस्,Copy skeleton,Copy Skeleton
සර්වරයේ කවුළුව:,Server port:,Server window:
"ඉතින්, තව කෙල්ලො කීයක් එක්ක මෙතනට ඇවිත් තියේද?","So, how many other girls do you bring here?","So, how many other girls have you brought here?"
...එයාගේ අම්මා තමයි අවුරුදු 17දී මෙහෙ එව්වේ.,...his mom signed so he could join up at 17.,...his mother sent him here when he was 17.
මේක නිකම්ම වෙච්ච දෙයක්.,This just happened.,It just happened.
"අවුරුදු තුනකට පස්සේ, මෙ කිරිගරුට ගල ඩෙවිඩ්ගේ පිළිරුව වෙලා තිබුණා∙","Three years later, that block of marble was the statue of David.","Three years later, this bricklayer had a statue of David."
ජේම්ස් ඔව් ?,- James. - Yeah?,"James, yes?"
फाइल रूपान्तरण असफल भयो ।,File transfer failed.,File conversion failed.
-ආපසු මූලස්තානයට .,Return to base. Over.,- Back to headquarters.
सञ्जाल जडान स्वीकार गर्न सकेन,Could Not Accept Network Connection,Could not accept network connection
මම මගේ වැඩ ඉවර කල ගමන්...,As long as I'm getting the work done...,As soon as I finish my work...
"ඒත් දත්ත ගැන හිතලා කතා කළොත්, මම හිතන්නේ මම හරි පාරට වැටිලා ඉන්නේ.","But statistically speaking, I think I might be on track.","But when you think about the data, I think I'm on the right track."
विभिन्न कलाकारहरू,Various types of playlists,Various Artists
लाइन डेटाका लागि स्मृति निर्धारण गर्न सकेन,Couldn't allocate memory for line data,Could not assign memory for line data
ඔයා හිතන්නේ මං ඕනා කමින් ලීසා එක්ක හිටියා කියලද?,You think I meant to knock up Lisa Rex?,Do you think I should have been with Lisa?
උපරිම අගය:,Maximum value:,Maximum value:
ඇයි ඒ? ඇය ලස්සනයි ඇය මාව දාල ගියා වුනත්?,Why is it she's beautiful though she has left me?,She's beautiful even though she left me?
කොල්ලා ඔනෑකමින් ඉගෙන ගන්නවා∙,Boy's eager to learn.,The boy learns on demand.
"ඔව්, මම දන්නවා, මම දන්නවා,.","YEAH, I KNOW, I KNOW.","Yeah, I know, I know."
ග්‍රාස් වලට එහි පාරවල් 2ක් විය.,There were two ways to reach Grasse.,There were two paths to the grass.
මම... සංසුන් ව... මටම වෛර කරගන්නවා.,I'm... calm... and... hating myself,I... calm down... hate myself.
"යසූනෝ, ඒ ඔයිෂි!","Yasuno, it's Oishi!","Yasuno, it's Oishi!"
මලෙිස්සා ඒක නවත්වන්න !,"Melissa, stop that! Co on now.","Melissa, stop it!"
"ක්ලොයිට වාසනාවක් නැති වයිද Mr,සුලිවන්?","Any luck reaching Chloe, Mr. Sullivan?","Is Chloe out of luck, Mr. Sullivan?"
මම මෙතන තමුසේ එක්ක වැඩ කරන්න හදන්නේ.,I'm trying to work with you here.,I'm gonna work with you here.
කවුද එහෙම කරන්නෙ?,Who does that?,Who would do that?
ඔහේ මට අකමැති විදියට කිඹුහුමක් ඇරියත්...,"If you so much as sneeze in a way I don't like,",I don't care if you're looking at me like I don't like you.
මෙයා අපේ ජීවිත බේරුවා.මෙයා හොරෙක් නෙමේ.,He saved our life. He's not a thief.,He saved our lives. He's not a thief.
එයාට හිටියේ එක යාළුවයි!,He had one friend.,He only had one friend!
ඉතින් ඒකෙ තේරුම අද රෑ ෂෙල්බිව හම්බෙන්න බෑ,So that means no date with shelby tonight,So that means you can't see Shelby tonight.
ඒහෙත් සැලකිය යුතු වත්කමක් තිබෙනවා නිදහස් වෙන්න.,"Nonetheless, they're considerable assets to dispose of.",There's a substantial right to be free.
මේක 3000 ක් විතර වටිනවා වගේ,"Should be worth 3,000.","It's worth about $3,000."
वर्णन उपलब्ध छैन,No content available,No description available
මිය යන්න මතකයන්.,Memori morti.,Memories of dying.
"පුතේ, මුළින්ම ඔයාගෙ පීසා එක කන්නකෝ.",First finish your pizza.,"Son, eat your pizza first."
හැම එකකටම අමතරව ඔයාගේ හැකරකට ඔයා වහාගන්න.,You shut up your gob and everything else also.,"In addition to all of them, you've got to hide in your hack."
"නෑ, රේඩියෝව පාවිච්චි කරන්න එපා.","No, don't use the radio to organize this.","No, don't use the radio."
ඔහුගේ සහෝදරියගෙ කතාව ඇත්තනම්.,What his sister said was true.,If his sister's story is true.
ඔහු හොදන් නෙමී නේද?,"- He's not doing well, is he?","He's not good, is he?"
- මට ඕන මගේ සහෝදරියත් එක්ක කතා කරන්න!,- And I wanna talk to my sister!,- I want to talk to my sister!
"ඒයි, මම මගේ ප්‍රජා සේවය කළානේ","Hey, I did my community service.","Hey, I served my community."
